id,title,original_language,popularity,release_date,vote_average,vote_count,tags
572154,Rascal Does Not Dream of a Dreaming Girl,ja,92.432,2019-06-15,8.3,391,"animation,comedy,romance,drama,fantasy in fujisawa, sakuta azusagawa is in his second year of high school. blissful days with his girlfriend and upperclassman, mai sakurajima, are interrupted by the appearance of his first crush, shoko makinohara."
299534,Avengers: Endgame,en,284.068,2019-04-24,8.3,21448,"adventure,science fiction,action after the devastating events of avengers: infinity war, the universe is in ruins due to the efforts of the mad titan, thanos. with the help of remaining allies, the avengers must assemble once more in order to undo thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store."
29259,Le Trou,fr,9.29,1960-03-18,8.3,334,"crime,drama,thriller,history four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, claude gaspard, is moved into their cell. they take a risk and share their plan with the newcomer. over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system -- yet their escape is anything but assured."
637920,Miracle in Cell No. 7,tr,49.021,2019-10-10,8.3,3968,"drama,comedy separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child."
265177,Mommy,fr,12.788,2014-09-19,8.3,2327,"drama a peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent."
670,Oldboy,ko,29.817,2003-11-21,8.3,6806,"drama,thriller,mystery,action with no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate businessman seeks revenge on his captors."
537061,Steven Universe: The Movie,en,58.206,2019-09-02,8.3,677,"animation,family,fantasy,tv movie,science fiction,adventure,music two years after bringing peace to the galaxy, steven universe sees his past come back to haunt him in the form of a deranged gem who wants to destroy the earth."
522924,The Art of Racing in the Rain,en,19.229,2019-08-08,8.3,1082,"comedy,drama,romance a family dog - with a near-human soul and a philosopher's mind - evaluates his life through the lessons learned by his human owner, a race-car driver."
791373,Zack Snyder's Justice League,en,325.801,2021-03-18,8.3,7943,"action,adventure,fantasy,science fiction determined to ensure superman's ultimate sacrifice was not in vain, bruce wayne aligns forces with diana prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions."
508965,Klaus,en,20.474,2019-11-08,8.3,2986,"animation,family,adventure,comedy,fantasy when jesper distinguishes himself as the postal academy's worst student, he is sent to smeerensburg, a small village located on an icy island above the arctic circle, where grumpy inhabitants barely exchange words, let alone letters. jesper is about to give up and abandon his duty as a postman when he meets local teacher alva and klaus, a mysterious carpenter who lives alone in a cabin full of handmade toys."
290098,The Handmaiden,ko,45.016,2016-06-01,8.3,2744,"thriller,drama,romance a japanese woman hires a handmaiden who is secretly working with a con man to cheat her out of her wealth."
